DATE,GCC_RAW
"May 3, 2015",0.38
"May 4, 2015",0.372
"May 5, 2015",0.376
"May 6, 2015",0.368
"May 7, 2015",0.365
"May 8, 2015",0.368
"May 9, 2015",0.364
"May 10, 2015",0.337
"May 11, 2015",0.371
"May 12, 2015",0.378
"May 13, 2015",0.336
"May 14, 2015",0.334
"May 15, 2015",0.366
"May 16, 2015",0.371
"May 17, 2015",0.374
"May 18, 2015",0.365
"May 19, 2015",0.375
"May 20, 2015",0.365
"May 21, 2015",0.38
"May 22, 2015",0.353
"May 23, 2015",0.337
"May 24, 2015",0.367
"May 25, 2015",0.363
"May 26, 2015",0.35
"May 27, 2015",0.361
"May 28, 2015",0.352
"May 29, 2015",0.337
"May 30, 2015",0.337
"May 31, 2015",0.357
"Jun 1, 2015",0.336
"Jun 2, 2015",0.36
"Jun 3, 2015",0.358
"Jun 4, 2015",0.363
"Jun 5, 2015",0.355
"Jun 6, 2015",0.35
"Jun 7, 2015",0.36
"Jun 8, 2015",0.361
"Jun 9, 2015",0.361
"Jun 10, 2015",0.338
"Jun 11, 2015",0.346
"Jun 12, 2015",0.357
"Jun 13, 2015",0.359
"Jun 14, 2015",0.351
"Jun 15, 2015",0.37
"Jun 16, 2015",0.362
"Jun 17, 2015",0.361
"Jun 18, 2015",0.36
"Jun 19, 2015",0.351
"Jun 20, 2015",0.325
"Jun 21, 2015",0.337
"Jun 22, 2015",0.359
"Jun 23, 2015",0.352
"Jun 24, 2015",0.33
"Jun 25, 2015",0.342
"Jun 26, 2015",0.334
"Jun 27, 2015",0.365
"Jun 28, 2015",0.34
"Jun 29, 2015",0.344
"Jun 30, 2015",0.352
"Jul 1, 2015",0.367
"Jul 2, 2015",0.353
"Jul 3, 2015",0.356
"Jul 4, 2015",0.359
"Jul 5, 2015",0.355
"Jul 6, 2015",0.365
"Jul 7, 2015",0.351
"Jul 8, 2015",0.361
"Jul 9, 2015",0.351
"Jul 10, 2015",0.349
"Jul 11, 2015",0.355
"Jul 12, 2015",0.347
"Jul 13, 2015",0.357
"Jul 14, 2015",0.349
"Jul 15, 2015",0.361
"Jul 16, 2015",0.353
"Jul 17, 2015",0.361
"Jul 18, 2015",0.349
"Jul 19, 2015",0.349
"Jul 20, 2015",0.357
"Jul 21, 2015",0.357
"Jul 22, 2015",0.36
"Jul 23, 2015",0.349
"Jul 24, 2015",0.359
"Jul 25, 2015",0.352
"Jul 26, 2015",0.356
"Jul 27, 2015",0.353
"Jul 28, 2015",0.353
"Jul 29, 2015",0.358
"Jul 30, 2015",0.35
"Jul 31, 2015",0.357
"Aug 1, 2015",0.348
"Aug 2, 2015",0.361
"Aug 3, 2015",0.356
"Aug 4, 2015",0.353
"Aug 5, 2015",0.359
"Aug 6, 2015",0.355
"Aug 7, 2015",0.361
"Aug 8, 2015",0.351
